id,centroid_x,centroid_y,area,time
0,873,594,33075,2025-06-06_11:02:04
1,1292,841,30272,2025-06-06_11:02:04
0,873,596,31806,2025-06-06_11:04:17
0,872,596,32190,2025-06-06_11:07:29
1,1291,840,30272,2025-06-06_11:07:29
0,965,656,17176,2025-07-09_17:41:32
1,108,580,15621,2025-07-09_17:41:32
0,925,673,18532,2025-07-09_18:58:56
1,72,589,16492,2025-07-09_18:58:56
0,922,674,18704,2025-07-09_18:59:06
0,926,673,18306,2025-07-09_18:59:07
0,923,673,18871,2025-07-09_18:59:36
0,926,674,18696,2025-07-09_18:59:52
0,923,674,18704,2025-07-09_18:59:54
0,926,673,18306,2025-07-09_19:00:31
0,923,674,18480,2025-07-09_19:00:32
0,929,672,17784,2025-07-09_19:00:33
0,928,669,17136,2025-07-09_19:00:34
0,931,670,16500,2025-07-09_19:00:37
0,938,684,23564,2025-07-09_19:00:41
2,885,580,18000,2025-07-09_19:00:41
2,881,582,18688,2025-07-09_19:00:44
2,884,580,18500,2025-07-09_19:00:48
2,881,583,18816,2025-07-09_19:00:50
2,883,580,18648,2025-07-09_19:00:51
2,880,583,19630,2025-07-09_19:01:37
2,883,582,18432,2025-07-09_19:01:38
2,884,579,18796,2025-07-09_19:01:39
3,953,162,15120,2025-07-09_19:01:49
0,70,589,15851,2025-07-09_19:58:59
1,953,165,15015,2025-07-09_19:58:59
2,949,237,12136,2025-07-09_20:00:28
2,944,240,13857,2025-07-09_20:00:29
2,949,239,13950,2025-07-09_20:01:01
0,949,237,11890,2025-07-09_20:31:27
1,67,590,15372,2025-07-09_20:31:27
0,1304,525,32617,2025-07-10_14:30:26
0,1304,530,33908,2025-07-10_14:32:39
0,1304,535,34400,2025-07-10_14:36:18
0,1307,539,34542,2025-07-10_14:40:29
0,412,464,56259,2025-11-13_19:11:26
1,835,58,50076,2025-11-13_19:11:26
2,954,48,15617,2025-11-13_19:11:33
3,836,59,50150,2025-11-13_19:11:47
0,406,456,48300,2025-11-13_19:12:03
4,483,473,32390,2025-11-13_19:12:04
5,930,49,20295,2025-11-13_19:12:04
4,547,464,15300,2025-11-13_19:12:05
4,558,456,19118,2025-11-13_19:12:06
6,1003,43,10440,2025-11-13_19:12:06
4,552,464,17176,2025-11-13_19:12:07
6,997,44,9592,2025-11-13_19:12:07
4,555,460,18444,2025-11-13_19:12:10
6,1002,44,10208,2025-11-13_19:12:19
4,560,459,20320,2025-11-13_19:12:25
4,549,464,15500,2025-11-13_19:12:28
0,665,463,811300,2025-11-21_16:16:21
1,433,645,19000,2025-11-21_16:16:22
2,807,112,22984,2025-11-21_16:16:22
2,799,112,21896,2025-11-21_16:16:30
0,627,669,11232,2025-11-21_16:22:03
1,958,106,15327,2025-11-21_16:22:03
0,612,668,10920,2025-11-21_16:22:17
0,627,670,10703,2025-11-21_17:01:23
1,958,108,15327,2025-11-21_17:01:23
0,627,670,10857,2025-11-21_17:03:15
1,959,108,15458,2025-11-21_17:03:15
0,306,675,16820,2025-11-24_16:47:43
0,307,681,16352,2025-11-24_16:49:01
0,355,694,15035,2025-11-24_16:49:01
1,468,717,13578,2025-11-24_16:49:02
1,471,721,12596,2025-11-24_16:49:03
1,503,665,17270,2025-11-24_16:49:30
2,747,60,12705,2025-11-24_16:49:30
3,470,478,16758,2025-11-24_16:49:31
4,753,74,15080,2025-11-24_16:49:36
5,680,253,15552,2025-11-24_16:49:39
5,675,253,13113,2025-11-24_16:49:41
0,469,481,16891,2025-11-24_16:56:10
1,674,254,13490,2025-11-24_16:56:10
1,678,250,13912,2025-11-24_16:58:59
1,674,254,13490,2025-11-24_16:59:00
2,730,378,429319,2025-11-24_17:01:09
1,680,249,11954,2025-11-24_17:01:09
0,486,490,9646,2025-11-24_17:01:10
1,677,253,12780,2025-11-24_17:01:10
0,469,479,17160,2025-11-24_17:01:10
1,686,250,12393,2025-11-24_17:01:49
1,680,249,11455,2025-11-24_17:01:49
1,688,250,12640,2025-11-24_17:01:49
1,678,251,12816,2025-11-24_17:01:50
1,687,250,12474,2025-11-24_17:01:51
1,681,249,12008,2025-11-24_17:01:51
3,469,478,17292,2025-11-24_17:01:52
1,677,253,14356,2025-11-24_17:01:52
1,690,250,13284,2025-11-24_17:01:56
1,681,249,12008,2025-11-24_17:01:56
1,676,251,13632,2025-11-24_17:01:58
1,685,250,11850,2025-11-24_17:02:03
1,678,251,12702,2025-11-24_17:02:04
1,687,250,12960,2025-11-24_17:02:04
1,681,249,11466,2025-11-24_17:02:05
1,676,251,13113,2025-11-24_17:02:05
3,475,482,15946,2025-11-24_17:02:08
1,688,250,12879,2025-11-24_17:02:11
1,678,251,12816,2025-11-24_17:02:12
1,689,250,12960,2025-11-24_17:02:12
1,676,251,12267,2025-11-24_17:02:13
1,688,250,13041,2025-11-24_17:02:13
1,676,251,12408,2025-11-24_17:02:14
4,468,479,17292,2025-11-24_17:02:14
4,475,482,16884,2025-11-24_17:02:17
1,689,251,12800,2025-11-24_17:02:19
1,678,251,12528,2025-11-24_17:02:20
4,469,478,17556,2025-11-24_17:02:20
1,689,251,13694,2025-11-24_17:02:23
1,674,252,12972,2025-11-24_17:02:26
1,688,251,13689,2025-11-24_17:02:29
1,676,252,13348,2025-11-24_17:02:33
4,477,482,15180,2025-11-24_17:02:35
1,689,251,13040,2025-11-24_17:02:37
1,674,252,12054,2025-11-24_17:02:38
1,689,251,13944,2025-11-24_17:02:38
1,682,250,11840,2025-11-24_17:02:39
1,688,251,13530,2025-11-24_17:02:40
5,467,478,15621,2025-11-24_17:02:40
1,679,254,14304,2025-11-24_17:02:41
1,690,250,12640,2025-11-24_17:02:45
1,681,251,13590,2025-11-24_17:02:45
1,690,250,13041,2025-11-24_17:02:45
6,460,478,18000,2025-11-24_17:02:50
6,470,477,17160,2025-11-24_17:02:50
7,676,251,13206,2025-11-24_17:02:50
6,468,482,17286,2025-11-24_17:02:52
7,677,256,14308,2025-11-24_17:02:55
7,689,250,13041,2025-11-24_17:02:57
7,682,249,11771,2025-11-24_17:02:58
7,678,252,12470,2025-11-24_17:03:07
7,683,250,12320,2025-11-24_17:03:08
7,677,252,12212,2025-11-24_17:03:10
7,687,250,13041,2025-11-24_17:03:10
7,681,249,12087,2025-11-24_17:03:10
7,687,251,13040,2025-11-24_17:03:12
7,678,251,12240,2025-11-24_17:03:12
7,683,249,12008,2025-11-24_17:03:12
7,677,248,14900,2025-11-24_17:03:13
8,470,477,16512,2025-11-24_17:03:13
8,468,482,17688,2025-11-24_17:03:13
7,675,253,13020,2025-11-24_17:03:14
0,461,491,18834,2025-11-24_17:28:48
1,664,247,12600,2025-11-24_17:28:48
1,672,251,17284,2025-11-24_17:28:48
0,456,490,18995,2025-11-24_17:28:49
2,716,453,482784,2025-11-24_17:29:14
3,453,489,18796,2025-11-24_17:29:15
4,671,250,18819,2025-11-24_17:29:15
0,228,359,33830,2025-11-25_20:36:32
1,87,600,27398,2025-11-25_20:36:32
1,92,601,26796,2025-11-25_20:37:38
1,87,600,26240,2025-11-25_20:37:39
1,92,601,27744,2025-11-25_20:39:48
1,87,600,25781,2025-11-25_20:39:50
0,226,364,32238,2025-11-25_20:43:09
2,1026,663,19716,2025-11-25_20:44:32
3,1669,672,25908,2025-11-25_20:44:47
4,1555,925,25883,2025-11-25_20:44:47
5,1324,859,37810,2025-11-25_20:44:54
6,1425,610,34286,2025-11-25_20:44:54
7,1128,520,32000,2025-11-25_20:44:55
8,1236,273,22680,2025-11-25_20:44:55
9,1209,208,21840,2025-11-25_20:44:56
10,1085,458,25200,2025-11-25_20:44:56
7,1081,522,28428,2025-11-25_20:44:57
8,1194,273,21063,2025-11-25_20:44:57
8,1191,277,21204,2025-11-25_20:45:00
8,1189,284,22733,2025-11-25_20:45:26
7,1077,525,32277,2025-11-25_20:45:26
0,1189,284,22860,2025-11-25_20:48:01
1,1074,525,32562,2025-11-25_20:48:01
0,1189,285,23040,2025-11-25_20:49:19
1,1074,525,32400,2025-11-25_20:49:19
0,1188,284,23168,2025-11-25_20:52:50
1,1075,525,31916,2025-11-25_20:52:50
0,495,325,19434,2025-12-03_16:42:16
1,911,452,16274,2025-12-03_16:42:16
0,494,316,19592,2025-12-03_16:44:12
1,912,447,16583,2025-12-03_16:44:12
0,493,311,19680,2025-12-03_16:44:12
1,913,441,15741,2025-12-03_16:44:12
1,915,447,16422,2025-12-03_16:44:13
1,913,442,15900,2025-12-03_16:44:14
0,489,327,19434,2025-12-03_16:44:14
1,906,452,16524,2025-12-03_16:44:14
0,483,331,19520,2025-12-03_16:44:14
1,899,461,15444,2025-12-03_16:44:14
0,437,345,20172,2025-12-03_16:44:14
1,855,468,15200,2025-12-03_16:44:14
1,799,483,15543,2025-12-03_16:44:14
0,378,365,18876,2025-12-03_16:44:14
1,799,466,15288,2025-12-03_16:44:15
0,378,348,19398,2025-12-03_16:44:15
0,377,363,19118,2025-12-03_16:44:15
1,797,480,16072,2025-12-03_16:44:15
0,368,366,19239,2025-12-03_16:44:15
1,787,486,15617,2025-12-03_16:44:15
0,345,380,18720,2025-12-03_16:44:15
1,765,494,15035,2025-12-03_16:44:15
0,312,384,18526,2025-12-03_16:44:15
1,732,495,15132,2025-12-03_16:44:15
1,697,498,14725,2025-12-03_16:44:15
0,277,388,18564,2025-12-03_16:44:15
0,253,400,18018,2025-12-03_16:44:16
1,672,514,15800,2025-12-03_16:44:16
0,238,411,17850,2025-12-03_16:44:16
1,657,526,15040,2025-12-03_16:44:16
0,227,435,18018,2025-12-03_16:44:16
1,644,548,15072,2025-12-03_16:44:16
0,219,443,18876,2025-12-03_16:44:16
1,637,557,16014,2025-12-03_16:44:16
0,227,459,19154,2025-12-03_16:44:16
1,641,572,14287,2025-12-03_16:44:16
0,218,456,18172,2025-12-03_16:44:16
1,632,567,14136,2025-12-03_16:44:16
0,210,469,18942,2025-12-03_16:44:17
1,626,583,15811,2025-12-03_16:44:17
0,156,511,18600,2025-12-03_16:44:17
1,573,621,16480,2025-12-03_16:44:17
0,132,524,17582,2025-12-03_16:44:17
1,547,633,14601,2025-12-03_16:44:17
0,168,520,17731,2025-12-03_16:44:17
1,583,633,14628,2025-12-03_16:44:17
0,150,537,17400,2025-12-03_16:44:17
1,562,649,14787,2025-12-03_16:44:17
0,97,580,17250,2025-12-03_16:44:17
1,510,690,15965,2025-12-03_16:44:17
0,82,603,16464,2025-12-03_16:44:17
0,68,604,16166,2025-12-03_16:44:18
1,476,708,15345,2025-12-03_16:44:18
0,66,618,16632,2025-12-03_16:44:18
0,51,670,15759,2025-12-03_16:44:18
2,270,405,15675,2025-12-03_16:44:22
2,303,443,16072,2025-12-03_16:44:22
2,291,442,17100,2025-12-03_16:44:22
2,292,448,16463,2025-12-03_16:44:22
2,271,507,15936,2025-12-03_16:44:22
0,830,631,17160,2025-12-03_16:53:35
1,500,656,14151,2025-12-03_16:53:35
0,497,654,14490,2025-12-03_17:27:29
1,825,627,16800,2025-12-03_17:27:29
0,496,664,14094,2025-12-03_17:27:44
1,825,634,17205,2025-12-03_17:27:44
0,485,667,13992,2025-12-03_17:27:44
1,814,639,15347,2025-12-03_17:27:44
1,767,629,17402,2025-12-03_17:27:44
0,437,656,13816,2025-12-03_17:27:44
0,401,656,14062,2025-12-03_17:27:44
1,729,632,16416,2025-12-03_17:27:44
2,430,572,17784,2025-12-03_17:27:45
3,771,254,22188,2025-12-03_17:28:19
4,633,307,23760,2025-12-03_17:28:20
4,611,283,20460,2025-12-03_17:28:20
4,627,273,24287,2025-12-03_17:28:20
5,1196,479,8382,2025-12-03_17:28:23
6,1305,524,7412,2025-12-03_17:28:26
6,1290,511,8520,2025-12-03_17:28:26
7,1064,518,7735,2025-12-03_17:28:26
8,1290,501,12954,2025-12-03_17:28:26
8,1279,502,7420,2025-12-03_17:28:26
7,1056,510,7130,2025-12-03_17:28:26
8,1231,492,7739,2025-12-03_17:28:26
7,1003,501,6912,2025-12-03_17:28:26
8,1197,488,7881,2025-12-03_17:28:26
7,968,500,7040,2025-12-03_17:28:26
8,1187,492,8165,2025-12-03_17:28:26
7,957,503,7068,2025-12-03_17:28:26
8,1168,496,7630,2025-12-03_17:28:27
7,941,505,6344,2025-12-03_17:28:27
8,1135,503,7035,2025-12-03_17:28:27
7,913,511,6900,2025-12-03_17:28:27
7,893,518,6867,2025-12-03_17:28:27
8,1118,511,7590,2025-12-03_17:28:27
7,895,531,6820,2025-12-03_17:28:27
8,1120,522,7840,2025-12-03_17:28:27
8,1102,540,6864,2025-12-03_17:28:27
7,884,549,8733,2025-12-03_17:28:27
7,864,560,7119,2025-12-03_17:28:27
8,1088,554,7590,2025-12-03_17:28:27
7,820,556,7475,2025-12-03_17:28:27
8,1041,546,7350,2025-12-03_17:28:28
9,732,537,6912,2025-12-03_17:28:28
10,956,526,8568,2025-12-03_17:28:28
9,695,526,6649,2025-12-03_17:28:28
10,916,519,7303,2025-12-03_17:28:28
10,893,485,7004,2025-12-03_17:28:28
9,676,490,7296,2025-12-03_17:28:28
10,891,466,7455,2025-12-03_17:28:28
9,674,473,7434,2025-12-03_17:28:28
9,660,520,7056,2025-12-03_17:28:28
10,885,511,8500,2025-12-03_17:28:28
9,656,560,7686,2025-12-03_17:28:29
10,910,536,21507,2025-12-03_17:28:29
11,818,529,23010,2025-12-03_17:28:30
11,818,557,16008,2025-12-03_17:28:30
11,807,530,20020,2025-12-03_17:28:31
11,753,514,7119,2025-12-03_17:28:31
12,532,523,6741,2025-12-03_17:28:31
12,500,522,7280,2025-12-03_17:28:31
11,733,510,9916,2025-12-03_17:28:31
11,697,511,7488,2025-12-03_17:28:31
12,481,521,8568,2025-12-03_17:28:31
12,470,519,7772,2025-12-03_17:28:31
11,693,508,8118,2025-12-03_17:28:31
12,458,516,6448,2025-12-03_17:28:31
11,677,504,7811,2025-12-03_17:28:31
12,476,518,7480,2025-12-03_17:28:32
11,697,505,7140,2025-12-03_17:28:32
11,695,496,6900,2025-12-03_17:28:32
12,473,506,6976,2025-12-03_17:28:32
11,692,509,7208,2025-12-03_17:28:32
12,469,519,6741,2025-12-03_17:28:32
12,485,502,7232,2025-12-03_17:28:33
11,709,491,7616,2025-12-03_17:28:33
12,485,522,6634,2025-12-03_17:28:33
11,706,513,7140,2025-12-03_17:28:33
12,489,542,5916,2025-12-03_17:28:33
11,711,533,7560,2025-12-03_17:28:33
11,708,529,7004,2025-12-03_17:28:33
11,716,512,7128,2025-12-03_17:28:33
12,495,522,6552,2025-12-03_17:28:33
12,485,505,6572,2025-12-03_17:28:33
11,705,496,7313,2025-12-03_17:28:33
12,477,505,7085,2025-12-03_17:28:34
11,698,496,7272,2025-12-03_17:28:34
11,696,483,6936,2025-12-03_17:28:34
12,474,490,7215,2025-12-03_17:28:34
11,654,486,7070,2025-12-03_17:28:34
12,435,493,6758,2025-12-03_17:28:34
11,631,469,7171,2025-12-03_17:28:34
12,410,481,7370,2025-12-03_17:28:34
11,626,469,6800,2025-12-03_17:28:34
12,405,479,6976,2025-12-03_17:28:34
12,393,467,6552,2025-12-03_17:28:34
11,617,454,7140,2025-12-03_17:28:34
12,375,470,6804,2025-12-03_17:28:34
11,600,461,7029,2025-12-03_17:28:34
11,605,454,7384,2025-12-03_17:28:35
12,392,464,6784,2025-12-03_17:28:35
11,620,453,7242,2025-12-03_17:28:35
12,398,466,6758,2025-12-03_17:28:35
12,403,484,7571,2025-12-03_17:28:35
11,627,472,6969,2025-12-03_17:28:35
12,441,491,7788,2025-12-03_17:28:35
11,663,484,7630,2025-12-03_17:28:35
12,452,489,6510,2025-12-03_17:28:36
11,679,482,6700,2025-12-03_17:28:36
11,691,486,6700,2025-12-03_17:28:36
12,471,491,6930,2025-12-03_17:28:36
12,471,499,7006,2025-12-03_17:28:36
12,470,490,6912,2025-12-03_17:28:36
12,483,480,7524,2025-12-03_17:28:36
11,704,470,7038,2025-12-03_17:28:36
12,488,469,6678,2025-12-03_17:28:36
11,710,462,7350,2025-12-03_17:28:36
12,486,487,6678,2025-12-03_17:28:36
11,709,480,7632,2025-12-03_17:28:36
12,483,472,6976,2025-12-03_17:28:37
11,705,464,7455,2025-12-03_17:28:37
12,487,483,6678,2025-12-03_17:28:37
11,710,473,6969,2025-12-03_17:28:37
12,482,486,7215,2025-12-03_17:28:38
12,461,472,6615,2025-12-03_17:28:38
11,686,463,7344,2025-12-03_17:28:38
12,454,469,6572,2025-12-03_17:28:38
11,678,457,7488,2025-12-03_17:28:38
12,450,455,6804,2025-12-03_17:28:38
11,676,449,6936,2025-12-03_17:28:38
12,429,462,6867,2025-12-03_17:28:38
